node,suspected
76,1504433156016
52,1504433156016
70,1504433156016
58,1504433156016
61,1504433156016
59,1504433156016
10,1504433156016
82,1504433156016
93,1504433156016
12,1504433156016
6,1504433156016
44,1504433156016
24,1504433156016
39,1504433156016
45,1504433156016
25,1504433156016
38,1504433156016
5,1504433156016
87,1504433156016
30,1504433156016
77,1504433156016
75,1504433156016
74,1504433156016
22,1504433156016
9,1504433156016
81,1504433156016
88,1504433156016
96,1504433156016
97,1504433156016
14,1504433156016
57,1504433156016
16,1504433156016
36,1504433156016
31,1504433156016
79,1504433156016
90,1504433156016
28,1504433156016
42,1504433156016
43,1504433156016
37,1504433156016
7,1504433156016
60,1504433156016
29,1504433156016
95,1504433156016
99,1504433156016
17,1504433156016
21,1504433156016
84,1504433156016
78,1504433156016
20,1504433156016
27,1504433156016
85,1504433156016
35,1504433156016
8,1504433156016
86,1504433156016
98,1504433156016
32,1504433156016
41,1504433156016
72,1504433156016
66,1504433156016
11,1504433156016
62,1504433156016
49,1504433156016
19,1504433156016
83,1504433156016
4,1504433156016
68,1504433156016
71,1504433156016
69,1504433156016
18,1504433156016
91,1504433156016
63,1504433156016
94,1504433156016
73,1504433156016
55,1504433156016
80,1504433156016
92,1504433156016
33,1504433156016
48,1504433156016
46,1504433156016
34,1504433156016
54,1504433156016
47,1504433156016
40,1504433156016
89,1504433156016
64,1504433156016
67,1504433156016
51,1504433156016
26,1504433156016
15,1504433156016
53,1504433156016
50,1504433156016
23,1504433156016
13,1504433156016
56,1504433156016
65,1504433156016
14,1504433159076
16,1504433159076
17,1504433159076
18,1504433159076
15,1504433159076
24,1504433161096
25,1504433161096
30,1504433161096
22,1504433161096
31,1504433161096
28,1504433161096
29,1504433161096
21,1504433161096
20,1504433161096
27,1504433161096
35,1504433161096
32,1504433161096
19,1504433161096
33,1504433161096
34,1504433161096
26,1504433161096
23,1504433161096
52,1504433163616
44,1504433163616
39,1504433163616
45,1504433163616
38,1504433163616
36,1504433163616
42,1504433163616
43,1504433163616
37,1504433163616
41,1504433163616
49,1504433163616
55,1504433163616
48,1504433163616
46,1504433163616
54,1504433163616
47,1504433163616
40,1504433163616
51,1504433163616
53,1504433163616
50,1504433163616
76,1504433166636
70,1504433166636
58,1504433166636
61,1504433166636
59,1504433166636
