stddev
210.0
60.0
130.0
60.0
50.0
100.0
220.0
120.0
70.0
240.0
20.0
240.0
150.0
160.0
260.0
40.0
100.0
110.0
230.0
200.0
300.0
110.0
180.0
100.0
80.0
280.0
30.0
80.0
210.0
90.0
70.0
40.0
200.0
280.0
180.0
90.0
30.0
50.0
300.0
300.0
150.0
120.0
190.0
190.0
140.0
40.0
150.0
50.0
230.0
220.0
270.0
220.0
30.0
160.0
20.0
180.0
60.0
270.0
260.0
80.0
110.0
170.0
40.0
10.0
90.0
90.0
170.0
20.0
250.0
140.0
230.0
140.0
110.0
30.0
260.0
10.0
130.0
240.0
250.0
70.0
10.0
270.0
100.0
280.0
80.0
290.0
170.0
210.0
200.0
20.0
70.0
190.0
290.0
120.0
250.0
60.0
290.0
160.0
50.0
130.0
