node,rttMean,rttStd,geo,rttMin,rttMax,bandwidth,noCrashes,rtt,timestamp
81,5984.0,1000.0,54.0,5984.0,5984.0,39.0,0,5984.0,1504871397126
27,6013.0,1000.0,53.0,6013.0,6013.0,23.0,0,6013.0,1504871397155
83,1832.0,262.0,15.0,1570.0,2094.0,63.0,0,1570.0,1504871397196
91,6094.0,1000.0,55.0,6094.0,6094.0,45.0,0,6094.0,1504871397236
10,1786.5,166.5,14.0,1620.0,1953.0,60.0,0,1620.0,1504871397246
82,6193.0,1000.0,56.0,6193.0,6193.0,90.0,0,6193.0,1504871397335
90,1967.0,177.0,6.0,1790.0,2144.0,0.0,0,1790.0,1504871397416
11,2046.5,226.5,16.0,1820.0,2273.0,79.0,0,1820.0,1504871397446
71,6343.0,1000.0,47.0,6343.0,6343.0,1.0,0,6343.0,1504871397485
50,2137.0,277.0,17.0,1860.0,2414.0,33.0,0,1860.0,1504871397486
37,6354.0,1000.0,57.0,6354.0,6354.0,30.0,0,6354.0,1504871397496
13,2256.0,307.0,18.0,1949.0,2563.0,13.0,0,1949.0,1504871397575
6,6483.0,1000.0,58.0,6483.0,6483.0,65.0,0,6483.0,1504871397625
100,2256.5,237.5,19.0,2019.0,2494.0,25.0,0,2019.0,1504871397645
70,6564.0,1000.0,60.0,6564.0,6564.0,94.0,0,6564.0,1504871397705
30,6603.0,1000.0,59.0,6603.0,6603.0,49.0,0,6603.0,1504871397745
59,2531.5,282.5,21.0,2249.0,2814.0,54.0,0,2249.0,1504871397875
87,2437.0,167.0,20.0,2270.0,2604.0,26.0,0,2270.0,1504871397896
75,6764.0,1000.0,61.0,6764.0,6764.0,43.0,0,6764.0,1504871397906
88,6793.0,1000.0,62.0,6793.0,6793.0,44.0,0,6793.0,1504871397935
32,2686.5,247.5,23.0,2439.0,2934.0,41.0,0,2439.0,1504871398065
85,2662.0,192.0,22.0,2470.0,2854.0,36.0,0,2470.0,1504871398096
48,6964.0,1000.0,63.0,6964.0,6964.0,80.0,0,6964.0,1504871398106
56,7014.0,1000.0,64.0,7014.0,7014.0,84.0,0,7014.0,1504871398156
39,2751.0,182.0,24.0,2569.0,2933.0,47.0,0,2569.0,1504871398195
22,2902.0,242.0,25.0,2660.0,3144.0,53.0,0,2660.0,1504871398286
25,7153.0,1000.0,66.0,7153.0,7153.0,58.0,0,7153.0,1504871398295
2,7184.0,1000.0,65.0,7184.0,7184.0,83.0,0,7184.0,1504871398326
65,7373.0,1000.0,67.0,7373.0,7373.0,92.0,0,7373.0,1504871398515
7,3102.0,182.0,27.0,2920.0,3284.0,46.0,0,2920.0,1504871398546
98,7464.0,1000.0,68.0,7464.0,7464.0,93.0,0,7464.0,1504871398606
61,7554.0,1000.0,69.0,7554.0,7554.0,42.0,0,7554.0,1504871398696
97,3251.5,162.5,28.0,3089.0,3414.0,20.0,0,3089.0,1504871398715
24,3371.0,232.0,29.0,3139.0,3603.0,52.0,0,3139.0,1504871398765
41,7634.0,1000.0,70.0,7634.0,7634.0,67.0,0,7634.0,1504871398776
