node,geoLocation,rtt,timestamp,mean
19,19,2040.0,1504424872511,2066.3333333333335
20,20,2219.0,1504424872690,2189.3333333333335
21,21,2279.0,1504424872750,2295.6666666666665
22,22,2329.0,1504424872800,2412.6666666666665
23,23,2429.0,1504424872900,2492.3333333333335
24,24,2469.0,1504424872940,2626.0
25,25,2609.0,1504424873080,2645.6666666666665
26,26,2769.0,1504424873240,2789.0
27,27,2879.0,1504424873350,2896.0
28,28,2950.0,1504424873421,2976.3333333333335
29,29,3009.0,1504424873480,3056.0
30,30,3039.0,1504424873510,3182.3333333333335
31,31,3229.0,1504424873700,3349.3333333333335
32,32,3260.0,1504424873731,3363.3333333333335
33,33,3409.0,1504424873880,3499.0
34,34,3440.0,1504424873911,3533.0
35,35,3579.0,1504424874050,3685.6666666666665
36,36,3729.0,1504424874200,3789.3333333333335
37,37,3749.0,1504424874220,3859.0
38,38,3959.0,1504424874430,4032.3333333333335
39,39,3980.0,1504424874451,4114.0
100,0,60.0,1504424874550,149.75
40,40,4089.0,1504424874560,4213.5
41,41,4229.0,1504424874700,4288.5
2,2,270.0,1504424874760,344.25
1,1,290.0,1504424874780,239.25
43,43,4339.0,1504424874810,4448.5
42,42,4399.0,1504424874870,4433.5
44,44,4419.0,1504424874890,4579.0
3,3,460.0,1504424874950,469.75
4,4,571.0,1504424875061,574.75
5,5,580.0,1504424875070,651.75
45,45,4669.0,1504424875140,4783.5
46,46,4700.0,1504424875171,4779.5
47,47,4779.0,1504424875250,4888.5
6,6,810.0,1504424875300,789.25
7,7,820.0,1504424875310,844.5
48,48,4869.0,1504424875340,4958.5
8,8,890.0,1504424875380,974.25
49,49,5009.0,1504424875480,5108.5
9,9,1040.0,1504424875530,1057.25
51,51,5130.0,1504424875600,5254.0
10,10,1111.0,1504424875601,1227.0
50,50,5189.0,1504424875660,5289.0
11,11,1200.0,1504424875690,1336.75
12,12,1361.0,1504424875851,1404.5
52,52,5409.0,1504424875880,5428.5
13,13,1440.0,1504424875930,1451.75
53,53,5480.0,1504424875951,5544.5
55,55,5559.0,1504424876030,5693.5
54,54,5569.0,1504424876040,5663.5
14,14,1551.0,1504424876041,1579.75
15,15,1660.0,1504424876150,1674.25
56,56,5749.0,1504424876220,5843.5
16,16,1740.0,1504424876230,1784.25
57,57,5789.0,1504424876260,5943.5
58,58,5840.0,1504424876311,5954.5
17,17,1830.0,1504424876320,1859.5
18,18,1910.0,1504424876400,2004.25
19,19,1990.0,1504424876480,2047.25
59,59,6039.0,1504424876510,6158.5
61,61,6189.0,1504424876660,6354.0
21,21,2180.0,1504424876670,2266.75
60,60,6209.0,1504424876680,6278.5
20,20,2210.0,1504424876700,2194.5
22,22,2330.0,1504424876820,2392.0
23,23,2370.0,1504424876860,2461.75
62,62,6419.0,1504424876890,6524.0
63,63,6490.0,1504424876961,6609.0
64,64,6490.0,1504424876961,6629.0
65,65,6569.0,1504424877040,6688.5
24,24,2591.0,1504424877081,2617.25
25,25,2710.0,1504424877200,2661.75
27,27,2730.0,1504424877220,2854.5
26,26,2740.0,1504424877230,2776.75
67,67,6779.0,1504424877250,6924.0
66,66,6799.0,1504424877270,6908.5
28,28,2830.0,1504424877320,2939.75
68,68,6949.0,1504424877420,7008.5
29,29,2940.0,1504424877430,3027.0
69,69,6999.0,1504424877470,7078.5
30,30,3110.0,1504424877600,3164.25
71,71,7179.0,1504424877650,7324.0
70,70,7209.0,1504424877680,7279.0
31,31,3300.0,1504424877790,3337.0
72,72,7319.0,1504424877790,7413.5
32,32,3410.0,1504424877900,3375.0
74,74,7479.0,1504424877950,7583.5
34,34,3461.0,1504424877951,3515.0
73,73,7499.0,1504424877970,7554.0
33,33,3490.0,1504424877980,3496.75
75,75,7529.0,1504424878000,7703.5
35,35,3700.0,1504424878190,3689.25
36,36,3720.0,1504424878210,3772.0
76,76,7789.0,1504424878260,7848.5
38,38,3820.0,1504424878310,3979.25
78,78,7849.0,1504424878320,7993.5
37,37,3861.0,1504424878351,3859.5
77,77,7919.0,1504424878390,7983.5
79,79,8000.0,1504424878471,8104.0
100,0,40.0,1504424878550,127.8
39,39,4101.0,1504424878591,4109.666666666667
1,1,250.0,1504424878760,241.4
2,2,270.0,1504424878780,329.4
3,3,390.0,1504424878900,453.8
4,4,451.0,1504424878961,550.0
5,5,680.0,1504424879190,657.4
6,6,690.0,1504424879200,769.4
7,7,770.0,1504424879280,829.6
8,8,940.0,1504424879450,967.4
9,9,1060.0,1504424879570,1057.8
10,10,1140.0,1504424879650,1209.6
11,11,1320.0,1504424879830,1333.4
12,12,1370.0,1504424879880,1397.6
14,14,1450.0,1504424879960,1553.8
13,13,1520.0,1504424880030,1465.4
15,15,1550.0,1504424880060,1649.4
16,16,1760.0,1504424880270,1779.4
17,17,1810.0,1504424880320,1849.6
18,18,1820.0,1504424880330,1967.4
20,20,2071.0,1504424880581,2169.8
19,19,2071.0,1504424880581,2052.0
21,21,2280.0,1504424880790,2269.4
22,22,2330.0,1504424880840,2379.6
23,23,2510.0,1504424881020,2471.4
25,25,2580.0,1504424881090,2645.4
24,24,2580.0,1504424881090,2609.8
26,26,2671.0,1504424881181,2755.6
27,27,2790.0,1504424881300,2841.6
28,28,2870.0,1504424881380,2925.8
29,29,3040.0,1504424881550,3029.6
30,30,3190.0,1504424881700,3169.4
31,31,3231.0,1504424881740,3315.8
32,32,3300.0,1504424881810,3360.0
33,33,3461.0,1504424881971,3489.6
34,34,3560.0,1504424882070,3524.0
36,36,3620.0,1504424882130,3741.6
35,35,3670.0,1504424882180,3685.4
37,37,3760.0,1504424882270,3839.6
38,38,3920.0,1504424882430,3967.4
80,80,8061.0,1504424882551,8174.5
40,40,4110.0,1504424882620,4179.0
100,0,161.0,1504424882691,133.33333333333334
81,81,8220.0,1504424882710,8369.0
82,82,8230.0,1504424882720,8339.0
41,41,4220.0,1504424882730,4265.666666666667
42,42,4260.0,1504424882770,4375.666666666667
1,1,290.0,1504424882820,249.5
3,3,350.0,1504424882880,436.5
83,83,8391.0,1504424882881,8550.0
2,2,360.0,1504424882890,334.5
84,84,8430.0,1504424882920,8617.0
44,44,4480.0,1504424882990,4546.0
43,43,4490.0,1504424883000,4462.333333333333
4,4,501.0,1504424883031,541.8333333333334
85,85,8578.0,1504424883068,8718.0
6,6,640.0,1504424883170,747.8333333333334
45,45,4680.0,1504424883190,4749.0
5,5,700.0,1504424883230,664.5
46,46,4800.0,1504424883310,4786.333333333333
86,86,8821.0,1504424883311,8884.5
7,7,860.0,1504424883390,834.6666666666666
87,87,8900.0,1504424883390,8974.5
47,47,4880.0,1504424883390,4885.666666666667
48,48,4920.0,1504424883430,4945.666666666667
88,88,9000.0,1504424883490,9104.0
89,89,9020.0,1504424883510,9139.0
90,90,9030.0,1504424883520,9229.0
