node,suspected
62,1504424866440
80,1504424866440
51,1504424866440
90,1504424866440
78,1504424866440
64,1504424866440
91,1504424866440
72,1504424866440
60,1504424866440
54,1504424866440
92,1504424866440
42,1504424866440
79,1504424866440
68,1504424866440
43,1504424866440
52,1504424866440
59,1504424866440
77,1504424866440
96,1504424866440
86,1504424866440
75,1504424866440
89,1504424866440
56,1504424866440
40,1504424866440
53,1504424866440
87,1504424866440
88,1504424866440
66,1504424866440
61,1504424866440
76,1504424866440
97,1504424866440
65,1504424866440
93,1504424866440
41,1504424866440
73,1504424866440
47,1504424866440
84,1504424866440
48,1504424866440
69,1504424866440
85,1504424866440
55,1504424866440
46,1504424866440
98,1504424866440
63,1504424866440
50,1504424866440
99,1504424866440
44,1504424866440
94,1504424866440
83,1504424866440
67,1504424866440
57,1504424866440
58,1504424866440
70,1504424866440
74,1504424866440
71,1504424866440
45,1504424866440
39,1504424866440
95,1504424866440
82,1504424866440
81,1504424866440
49,1504424866440
12,1504424894591
66,1504424999110
73,1504424999110
54,1504425119710
91,1504425188050
14,1504425316690
22,1504425401110
63,1504425401110
97,1504425453370
20,1504425477490
74,1504425489550
